Format = Name, Patch, Type, Ra, Dec, I, Q, U, V, SpectralIndex, LogarithmicSI, ReferenceFrequency='150.e6', MajorAxis, MinorAxis, Orientation

, cluster1, POINT, , , , , , , , , , , ,
3C196_578, cluster1, POINT, 08:13:36.393, 48.13.02.281, 0.00381086743436754, 0, 0, 0, [-0.0113701745867729, 0.0519273467361927], false, 144876098.632812, , ,
3C196_579, cluster1, POINT, 08:13:36.378, 48.13.02.281, 0.00770305888727307, 0, 0, 0, [0.0118823554366827, -0.0434970669448376], false, 144876098.632812, , ,
3C196_580, cluster1, POINT, 08:13:36.373, 48.13.02.281, 0.00421487586572766, 0, 0, 0, [0.0106092402711511, -0.150427594780922], false, 144876098.632812, , ,
3C196_587, cluster1, POINT, 08:13:36.418, 48.13.02.331, 0.0087042348459363, 0, 0, 0, [0.00554052786901593, -0.0997532904148102], false, 144876098.632812, , ,
3C196_588, cluster1, POINT, 08:13:36.413, 48.13.02.331, 0.00922302063554525, 0, 0, 0, [-0.00415893131867051, -0.0174599215388298], false, 144876098.632812, , ,
3C196_589, cluster1, POINT, 08:13:36.403, 48.13.02.331, 0.00660504167899489, 0, 0, 0, [0.0187883768230677, -0.0740465596318245], false, 144876098.632812, , ,
3C196_595, cluster1, POINT, 08:13:36.423, 48.13.02.381, 0.0109363133087754, 0, 0, 0, [0.0310339983552694, -0.249652579426765], false, 144876098.632812, , ,
3C196_596, cluster1, POINT, 08:13:36.263, 48.13.02.381, -0.00472018959205492, 0, 0, 0, [0.00257249595597386, -1.17856197903166e-05], false, 144876098.632812, , ,
3C196_603, cluster1, POINT, 08:13:36.333, 48.13.02.481, 0.00140133278910071, 0, 0, 0, [0.00709683261811733, 0.0200035907328129], false, 144876098.632812, , ,
3C196_613, cluster1, POINT, 08:13:36.333, 48.13.02.531, 0.00163248763419688, 0, 0, 0, [0.00278837513178587, -0.0015645605744794], false, 144876098.632812, , ,
3C196_638, cluster1, POINT, 08:13:36.393, 48.13.02.631, -0.00408576609375657, 0, 0, 0, [0.00213103112764657, 0.000195298576727509], false, 144876098.632812, , ,
3C196_639, cluster1, POINT, 08:13:36.353, 48.13.02.631, 0.00451686838641763, 0, 0, 0, [0.0154768964275718, -0.18796680867672], false, 144876098.632812, , ,
3C196_648, cluster1, POINT, 08:13:36.398, 48.13.02.681, -0.00493766718606144, 0, 0, 0, [0.00248886761255562, -0.000116921597509645], false, 144876098.632812, , ,
3C196_649, cluster1, POINT, 08:13:36.393, 48.13.02.681, -0.00681641652137815, 0, 0, 0, [0.00311424024403095, 0.00250884075649083], false, 144876098.632812, , ,
3C196_650, cluster1, POINT, 08:13:36.353, 48.13.02.681, 0.000687945052050054, 0, 0, 0, [0.00383899267762899, -0.0105330217629671], false, 144876098.632812, , ,
3C196_651, cluster1, POINT, 08:13:36.348, 48.13.02.681, 0.00303484918549657, 0, 0, 0, [-0.00140407530125231, -0.0350448898971081], false, 144876098.632812, , ,
3C196_652, cluster1, POINT, 08:13:36.278, 48.13.02.681, 0.0028716130182147, 0, 0, 0, [-0.00628486415371299, 0.0444000624120235], false, 144876098.632812, , ,
3C196_662, cluster1, POINT, 08:13:36.348, 48.13.02.731, 0.00210410868749022, 0, 0, 0, [0.00917706452310085, 0.0213998910039663], false, 144876098.632812, , ,
3C196_670, cluster1, POINT, 08:13:36.348, 48.13.02.781, 0.00165432516951114, 0, 0, 0, [0.00801635719835758, 0.00785468332469463], false, 144876098.632812, , ,
3C196_677, cluster1, POINT, 08:13:36.338, 48.13.02.831, 0.000352072209352627, 0, 0, 0, [-0.000152597043779679, -0.000584886991418898], false, 144876098.632812, , ,
3C196_678, cluster1, POINT, 08:13:36.333, 48.13.02.831, 0.00486708292737603, 0, 0, 0, [-0.00786620285362005, 0.0231171175837517], false, 144876098.632812, , ,
3C196_689, cluster1, POINT, 08:13:36.333, 48.13.02.881, 0.0040923785418272, 0, 0, 0, [0.00258287345059216, -0.0305190421640873], false, 144876098.632812, , ,
